Artist ID,Album ID,Album URL,Album date,Video link,Album type,Label,ID
Idol-kang-daniel,2026-obsession,/musicalbums/2026-Obsession,260122,JBrmXv5nwZs,,,
Idol-sya,2026-23-24,/musicalbums/2026-23-24,260203,f9m2SQ81v7Q,,,
Idol-yeoeun,2026-i-love-you-i-love-you,/musicalbums/2026-I-Love-You-I-Love-You,260122,XE4A3zRxk8M,,,
Group-bolbbalgan4,2026-loosing-heart-veiled-musician-x-bol4-with-yeouido-dong-three-star,/musicalbums/2026-Loosing-Heart-Veiled-Musician-X-BOL4-with-Yeouido-dong-Three-Star,260113,6PH4Kfjeuo8,,,
Group-girlset,2026-little-miss-misdemeanor,/musicalbums/2026-Little-Miss-Misdemeanor,260123,vuAp-MShrVw,,,
Group-i1it,2026-red-line,/musicalbums/2026-RED-line,260203,WMgKm01lr2M,,,
Group-madein,2026-girl-meets-boy,/musicalbums/2026-Girl-Meets-Boy,260209,slHHlZN3N0w,,,
Group-zerobaseone,2026-roses,/musicalbums/2026-Roses,260123,JUeZL0TyT3I,,,
Idol-gray,2026-project-y-original-motion-picture-soundtrack,/musicalbums/2026-Project-Y-Original-Motion-Picture-Soundtrack,260121,BN3sEtwD7qU,,,
Idol-hyun-o,2026-starlight-glaze,/musicalbums/2026-Starlight-Glaze,260124,8k0qIUhaCD0,,,
Idol-yoseop,2026-unloved-echo,/musicalbums/2026-Unloved-Echo,260209,pOAKFUpMdd0,,,
Idol-junho,2026-always,/musicalbums/2026-Always,260126,7ehdQWIV5Ik,,,
Group-ive,2026-revive,/musicalbums/2026-REVIVE,260226,4qWUNxnZ35U,,,
Group-nct-jnjm,2026-both-sides,/musicalbums/2026-BOTH-SIDES,260223,EzvhlgTNCbU,,,
Idol-youngjae3,2026-shinbi-s-haunted-house-10th-anniversary-movie-summon-once-more-ost,/musicalbums/2026-Shinbi-s-Haunted-House-10th-Anniversary-Movie-Summon-Once-More-OST,260116,OaBsMBK1Bgo,,,
Group-ab6ix,2026-a-minute-a-second,/musicalbums/2026-A-Minute-A-Second,260127,1hRzRN2bs3k,,,
Group-ive,2026-revive,/musicalbums/2026-REVIVE,260223,4qWUNxnZ35U,,,
Idol-hyojin4,2026-painkiller,/musicalbums/2026-Painkiller,260213,e4RCv5k_kuE,,,
Idol-juntae,2026-tired-of-falling-in-love,/musicalbums/2026-Tired-of-falling-in-love,260129,IWeJUiyqFes,,,
Group-my-rakl,2026-wish-upon-the-stars,/musicalbums/2026-Wish-Upon-the-Stars,260126,-xw1nTIH50I,,,
Group-tws,2026-nice-to-see-you-again-korean-ver,/musicalbums/2026-Nice-To-See-You-Again-Korean-ver,260209,,,,
Idol-hweseung,2026-run-with-me,/musicalbums/2026-Run-With-Me,260129,2M65XQn-2Pk,,,
Group-all-h-ours,2026-my-spring-my-light-my-breath,/musicalbums/2026-My-Spring-My-Light-My-Breath,260129,AEYrm_IFoKk,,,
Group-onewe,2026-ferris-wheel,/musicalbums/2026-Ferris-Wheel,260114,KyRERlh3X28,,,
Idol-chaeryeong,2026-no-tail-to-tell-pt-4,/musicalbums/2026-No-Tail-to-Tell-Pt-4,260130,VSzrNrTeXMM,,,
Idol-unknown,2026-never-meant-to-be,/musicalbums/2026-Never-Meant-to-Be,260129,77IbsMVWyuQ,,,
Idol-gist,2026-r-g,/musicalbums/2026-R-G,260128,unlgFDu7-pA,,,
Idol-sungkyu2,2026-off-the-map,/musicalbums/2026-Off-The-Map,260302,,,,
